sample_id	tissue	color
331050802.CEL	bone_like	"#000000"
GSM106188.CEL	bone_like	"#000000"
GSM106178.CEL	bone_like	"#000000"
GSM106169.CEL	bone_like	"#000000"
331051828.CEL	bone_like	"#000000"
331050916.CEL	bone_like	"#000000"
GSM106185.CEL	bone_like	"#000000"
GSM106176.CEL	bone_like	"#000000"
GSM106212.CEL	bone_like	"#000000"
GSM106219.CEL	bone_like	"#000000"
GSM106205.CEL	bone_like	"#000000"
GSM106200.CEL	bone_like	"#000000"
GSM106217.CEL	bone_like	"#000000"
GSM106186.CEL	bone_like	"#000000"
GSM106182.CEL	bone_like	"#000000"
GSM106193.CEL	bone_like	"#000000"
GSM106204.CEL	bone_like	"#000000"
331050973.CEL	bone_like	"#000000"
GSM106202.CEL	bone_like	"#000000"
GSM106211.CEL	blood_like	"#A1C299"
331456016.CEL	bone_like	"#000000"
331456194.CEL	bone_like	"#000000"
331050289.CEL	bone_like	"#000000"
GSM106198.CEL	bone_like	"#000000"
GSM9849.CEL	bone_like	"#000000"
331051030.CEL	bone_like	"#000000"
GSM9696.CEL	bone_like	"#000000"
331051600.CEL	bone_like	"#000000"
331050631.CEL	bone_like	"#000000"
331050745.CEL	bone_like	"#000000"
GSM106195.CEL	bone_like	"#000000"
GSM106187.CEL	bone_like	"#000000"
GSM106173.CEL	bone_like	"#000000"
GSM106183.CEL	bone_like	"#000000"
305933193.CEL	bone_like	"#000000"
305933293.CEL	blood_like	"#A1C299"
305933093.CEL	blood_like	"#A1C299"
GSM30296.CEL	bone_like	"#000000"
GSM30294.CEL	bone_like	"#000000"
GSM30297.CEL	bone_like	"#000000"
GSM30298.CEL	bone_like	"#000000"
GSM30295.CEL	bone_like	"#000000"
GSM30293.CEL	bone_like	"#000000"
GSM20889.CEL	bone_like	"#000000"
GSM20730.CEL	bone_like	"#000000"
GSM20974.CEL	bone_like	"#000000"
GSM20781.CEL	bone_like	"#000000"
GSM20722.CEL	bone_like	"#000000"
GSM30313.CEL	bone_like	"#000000"
GSM20856.CEL	bone_like	"#000000"
GSM20752.CEL	bone_like	"#000000"
GSM20880.CEL	bone_like	"#000000"
GSM20743.CEL	bone_like	"#000000"
GSM20942.CEL	bone_like	"#000000"
GSM20717.CEL	bone_like	"#000000"
GSM20702.CEL	bone_like	"#000000"
GSM20968.CEL	bone_like	"#000000"
GSM30309.CEL	bone_like	"#000000"
GSM20897.CEL	bone_like	"#000000"
GSM30316.CEL	bone_like	"#000000"
GSM30310.CEL	bone_like	"#000000"
GSM20784.CEL	bone_like	"#000000"
GSM20828.CEL	bone_like	"#000000"
GSM20830.CEL	bone_like	"#000000"
GSM30303.CEL	bone_like	"#000000"
GSM20740.CEL	bone_like	"#000000"
GSM20890.CEL	bone_like	"#000000"
GSM20843.CEL	bone_like	"#000000"
GSM20823.CEL	bone_like	"#000000"
GSM20750.CEL	bone_like	"#000000"
GSM20871.CEL	bone_like	"#000000"
GSM20918.CEL	bone_like	"#000000"
GSM20745.CEL	bone_like	"#000000"
GSM20816.CEL	bone_like	"#000000"
GSM20956.CEL	bone_like	"#000000"
GSM20972.CEL	bone_like	"#000000"
GSM20841.CEL	bone_like	"#000000"
GSM20713.CEL	bone_like	"#000000"
GSM20807.CEL	bone_like	"#000000"
GSM20725.CEL	bone_like	"#000000"
GSM20943.CEL	bone_like	"#000000"
GSM20688.CEL	bone_like	"#000000"
GSM20764.CEL	bone_like	"#000000"
GSM20732.CEL	bone_like	"#000000"
GSM20800.CEL	bone_like	"#000000"
GSM20711.CEL	bone_like	"#000000"
GSM20699.CEL	bone_like	"#000000"
GSM20731.CEL	bone_like	"#000000"
GSM20853.CEL	bone_like	"#000000"
GSM20770.CEL	bone_like	"#000000"
GSM20737.CEL	bone_like	"#000000"
GSM30314.CEL	bone_like	"#000000"
GSM20834.CEL	bone_like	"#000000"
GSM20760.CEL	bone_like	"#000000"
GSM20899.CEL	bone_like	"#000000"
GSM20885.CEL	bone_like	"#000000"
GSM20892.CEL	bone_like	"#000000"
GSM20877.CEL	bone_like	"#000000"
GSM20863.CEL	bone_like	"#000000"
GSM20915.CEL	bone_like	"#000000"
GSM20938.CEL	bone_like	"#000000"
GSM20757.CEL	bone_like	"#000000"
GSM20920.CEL	bone_like	"#000000"
GSM20906.CEL	bone_like	"#000000"
GSM20810.CEL	bone_like	"#000000"
GSM20908.CEL	bone_like	"#000000"
GSM20860.CEL	bone_like	"#000000"
GSM19383.CEL	bone_like	"#000000"
GSM20973.CEL	bone_like	"#000000"
GSM20824.CEL	bone_like	"#000000"
GSM20802.CEL	bone_like	"#000000"
GSM20787.CEL	bone_like	"#000000"
GSM20812.CEL	bone_like	"#000000"
GSM20707.CEL	bone_like	"#000000"
GSM20768.CEL	bone_like	"#000000"
GSM20726.CEL	bone_like	"#000000"
GSM20857.CEL	bone_like	"#000000"
GSM20716.CEL	bone_like	"#000000"
GSM20964.CEL	bone_like	"#000000"
GSM30292.CEL	bone_like	"#000000"
GSM20855.CEL	bone_like	"#000000"
GSM20870.CEL	bone_like	"#000000"
GSM20891.CEL	bone_like	"#000000"
GSM20820.CEL	bone_like	"#000000"
GSM20846.CEL	bone_like	"#000000"
GSM20811.CEL	bone_like	"#000000"
GSM20854.CEL	bone_like	"#000000"
GSM20766.CEL	bone_like	"#000000"
GSM20798.CEL	bone_like	"#000000"
GSM19382.CEL	bone_like	"#000000"
GSM20879.CEL	bone_like	"#000000"
GSM20785.CEL	bone_like	"#000000"
GSM20876.CEL	bone_like	"#000000"
GSM20825.CEL	bone_like	"#000000"
GSM20703.CEL	bone_like	"#000000"
GSM20686.CEL	bone_like	"#000000"
GSM20958.CEL	bone_like	"#000000"
GSM20954.CEL	bone_like	"#000000"
GSM20742.CEL	bone_like	"#000000"
GSM20705.CEL	bone_like	"#000000"
GSM20776.CEL	bone_like	"#000000"
GSM20950.CEL	bone_like	"#000000"
GSM20753.CEL	bone_like	"#000000"
GSM20736.CEL	bone_like	"#000000"
GSM20821.CEL	bone_like	"#000000"
GSM20917.CEL	bone_like	"#000000"
GSM20901.CEL	bone_like	"#000000"
GSM20933.CEL	bone_like	"#000000"
GSM20775.CEL	bone_like	"#000000"
GSM20865.CEL	bone_like	"#000000"
GSM20932.CEL	bone_like	"#000000"
GSM20690.CEL	bone_like	"#000000"
GSM20962.CEL	bone_like	"#000000"
GSM20751.CEL	bone_like	"#000000"
GSM20793.CEL	bone_like	"#000000"
GSM20963.CEL	bone_like	"#000000"
GSM20844.CEL	bone_like	"#000000"
GSM20925.CEL	bone_like	"#000000"
GSM20733.CEL	bone_like	"#000000"
GSM20916.CEL	bone_like	"#000000"
GSM20947.CEL	bone_like	"#000000"
GSM20727.CEL	bone_like	"#000000"
GSM20946.CEL	bone_like	"#000000"
GSM20826.CEL	bone_like	"#000000"
GSM30304.CEL	bone_like	"#000000"
GSM20809.CEL	bone_like	"#000000"
GSM20704.CEL	bone_like	"#000000"
GSM20696.CEL	bone_like	"#000000"
GSM20718.CEL	bone_like	"#000000"
GSM20805.CEL	bone_like	"#000000"
GSM20832.CEL	bone_like	"#000000"
GSM20930.CEL	bone_like	"#000000"
GSM20685.CEL	bone_like	"#000000"
GSM20959.CEL	bone_like	"#000000"
GSM20747.CEL	bone_like	"#000000"
GSM20712.CEL	bone_like	"#000000"
GSM20929.CEL	bone_like	"#000000"
GSM20859.CEL	bone_like	"#000000"
GSM20874.CEL	bone_like	"#000000"
GSM20907.CEL	bone_like	"#000000"
GSM20804.CEL	bone_like	"#000000"
GSM20754.CEL	bone_like	"#000000"
GSM30300.CEL	bone_like	"#000000"
GSM20905.CEL	bone_like	"#000000"
GSM20966.CEL	bone_like	"#000000"
GSM20914.CEL	bone_like	"#000000"
GSM20895.CEL	bone_like	"#000000"
GSM20710.CEL	bone_like	"#000000"
GSM20783.CEL	bone_like	"#000000"
GSM20847.CEL	bone_like	"#000000"
GSM20864.CEL	bone_like	"#000000"
GSM20724.CEL	bone_like	"#000000"
GSM20813.CEL	bone_like	"#000000"
GSM20693.CEL	bone_like	"#000000"
GSM20714.CEL	bone_like	"#000000"
GSM20715.CEL	bone_like	"#000000"
GSM20953.CEL	bone_like	"#000000"
GSM20934.CEL	bone_like	"#000000"
GSM20749.CEL	bone_like	"#000000"
GSM20868.CEL	bone_like	"#000000"
GSM20886.CEL	bone_like	"#000000"
GSM20738.CEL	bone_like	"#000000"
GSM20881.CEL	bone_like	"#000000"
GSM20791.CEL	bone_like	"#000000"
GSM20833.CEL	bone_like	"#000000"
GSM20898.CEL	bone_like	"#000000"
GSM20700.CEL	bone_like	"#000000"
GSM20819.CEL	bone_like	"#000000"
GSM20922.CEL	bone_like	"#000000"
GSM20939.CEL	bone_like	"#000000"
GSM20931.CEL	bone_like	"#000000"
GSM20945.CEL	bone_like	"#000000"
GSM20777.CEL	bone_like	"#000000"
GSM20913.CEL	bone_like	"#000000"
GSM20970.CEL	bone_like	"#000000"
GSM20909.CEL	bone_like	"#000000"
GSM20858.CEL	bone_like	"#000000"
GSM20935.CEL	bone_like	"#000000"
GSM20926.CEL	bone_like	"#000000"
GSM20866.CEL	bone_like	"#000000"
GSM20838.CEL	bone_like	"#000000"
GSM20691.CEL	bone_like	"#000000"
GSM20761.CEL	bone_like	"#000000"
GSM20845.CEL	bone_like	"#000000"
GSM20774.CEL	bone_like	"#000000"
GSM20965.CEL	bone_like	"#000000"
GSM20835.CEL	bone_like	"#000000"
GSM20840.CEL	bone_like	"#000000"
GSM20762.CEL	bone_like	"#000000"
GSM20723.CEL	bone_like	"#000000"
GSM20878.CEL	bone_like	"#000000"
GSM20969.CEL	bone_like	"#000000"
GSM20706.CEL	bone_like	"#000000"
GSM20924.CEL	bone_like	"#000000"
GSM20944.CEL	bone_like	"#000000"
GSM20961.CEL	bone_like	"#000000"
GSM20780.CEL	bone_like	"#000000"
GSM20848.CEL	bone_like	"#000000"
GSM20729.CEL	bone_like	"#000000"
GSM20695.CEL	bone_like	"#000000"
GSM20789.CEL	bone_like	"#000000"
GSM20741.CEL	bone_like	"#000000"
GSM20796.CEL	bone_like	"#000000"
GSM20875.CEL	bone_like	"#000000"
GSM20831.CEL	bone_like	"#000000"
GSM20873.CEL	bone_like	"#000000"
GSM20967.CEL	bone_like	"#000000"
GSM20842.CEL	bone_like	"#000000"
GSM20748.CEL	bone_like	"#000000"
GSM20850.CEL	bone_like	"#000000"
GSM20867.CEL	bone_like	"#000000"
GSM20894.CEL	bone_like	"#000000"
GSM20919.CEL	bone_like	"#000000"
GSM20744.CEL	bone_like	"#000000"
GSM20782.CEL	bone_like	"#000000"
GSM20937.CEL	bone_like	"#000000"
GSM20746.CEL	bone_like	"#000000"
GSM30291.CEL	bone_like	"#000000"
GSM20755.CEL	bone_like	"#000000"
GSM20818.CEL	bone_like	"#000000"
GSM20829.CEL	bone_like	"#000000"
GSM20923.CEL	bone_like	"#000000"
GSM20921.CEL	bone_like	"#000000"
GSM20719.CEL	bone_like	"#000000"
GSM20692.CEL	bone_like	"#000000"
GSM20862.CEL	bone_like	"#000000"
GSM20928.CEL	bone_like	"#000000"
GSM20936.CEL	bone_like	"#000000"
GSM20815.CEL	bone_like	"#000000"
GSM20788.CEL	bone_like	"#000000"
GSM20912.CEL	bone_like	"#000000"
GSM20904.CEL	bone_like	"#000000"
GSM20759.CEL	bone_like	"#000000"
GSM20792.CEL	bone_like	"#000000"
GSM20708.CEL	bone_like	"#000000"
GSM20697.CEL	bone_like	"#000000"
GSM20882.CEL	bone_like	"#000000"
GSM20900.CEL	bone_like	"#000000"
GSM20772.CEL	bone_like	"#000000"
GSM20758.CEL	bone_like	"#000000"
GSM20888.CEL	bone_like	"#000000"
GSM20803.CEL	bone_like	"#000000"
GSM20851.CEL	bone_like	"#000000"
GSM20955.CEL	bone_like	"#000000"
GSM20903.CEL	bone_like	"#000000"
GSM20952.CEL	bone_like	"#000000"
GSM20735.CEL	bone_like	"#000000"
GSM20797.CEL	bone_like	"#000000"
GSM20709.CEL	bone_like	"#000000"
GSM20806.CEL	bone_like	"#000000"
GSM20687.CEL	bone_like	"#000000"
GSM20701.CEL	bone_like	"#000000"
GSM20849.CEL	bone_like	"#000000"
GSM20694.CEL	bone_like	"#000000"
GSM20872.CEL	bone_like	"#000000"
GSM20773.CEL	bone_like	"#000000"
GSM20896.CEL	bone_like	"#000000"
GSM20765.CEL	bone_like	"#000000"
GSM20767.CEL	bone_like	"#000000"
GSM20698.CEL	bone_like	"#000000"
GSM20778.CEL	bone_like	"#000000"
GSM20799.CEL	bone_like	"#000000"
GSM20779.CEL	bone_like	"#000000"
GSM20720.CEL	bone_like	"#000000"
GSM20790.CEL	bone_like	"#000000"
GSM20902.CEL	bone_like	"#000000"
GSM20940.CEL	bone_like	"#000000"
GSM20756.CEL	bone_like	"#000000"
GSM20822.CEL	bone_like	"#000000"
GSM20808.CEL	bone_like	"#000000"
GSM20911.CEL	bone_like	"#000000"
GSM20827.CEL	bone_like	"#000000"
GSM20786.CEL	bone_like	"#000000"
GSM20852.CEL	bone_like	"#000000"
GSM20721.CEL	bone_like	"#000000"
GSM20948.CEL	bone_like	"#000000"
GSM20951.CEL	bone_like	"#000000"
GSM20739.CEL	bone_like	"#000000"
GSM20817.CEL	bone_like	"#000000"
GSM30301.CEL	bone_like	"#000000"
GSM20836.CEL	bone_like	"#000000"
GSM20771.CEL	bone_like	"#000000"
GSM20957.CEL	bone_like	"#000000"
GSM20684.CEL	bone_like	"#000000"
GSM20861.CEL	bone_like	"#000000"
GSM20887.CEL	bone_like	"#000000"
GSM20769.CEL	bone_like	"#000000"
GSM20763.CEL	bone_like	"#000000"
GSM20869.CEL	bone_like	"#000000"
GSM20689.CEL	bone_like	"#000000"
GSM20893.CEL	bone_like	"#000000"
GSM20795.CEL	bone_like	"#000000"
GSM20971.CEL	bone_like	"#000000"
GSM20949.CEL	bone_like	"#000000"
GSM20734.CEL	bone_like	"#000000"
GSM20814.CEL	bone_like	"#000000"
GSM20884.CEL	bone_like	"#000000"
GSM20728.CEL	bone_like	"#000000"
GSM30317.CEL	bone_like	"#000000"
GSM30308.CEL	bone_like	"#000000"
GSM30315.CEL	bone_like	"#000000"
GSM30306.CEL	bone_like	"#000000"
350868355.CEL	blood_like	"#A1C299"
350868040.CEL	blood_like	"#A1C299"
350867536.CEL	blood_like	"#A1C299"
GSM30283.CEL	bone_like	"#000000"
350868733.CEL	blood_like	"#A1C299"
350868481.CEL	blood_like	"#A1C299"
350867851.CEL	blood_like	"#A1C299"
GSM30279.CEL	bone_like	"#000000"
350867599.CEL	blood_like	"#A1C299"
GSM30281.CEL	bone_like	"#000000"
350868796.CEL	blood_like	"#A1C299"
350868292.CEL	blood_like	"#A1C299"
GSM30280.CEL	bone_like	"#000000"
350868544.CEL	blood_like	"#A1C299"
350867788.CEL	blood_like	"#A1C299"
GSM30287.CEL	bone_like	"#000000"
GSM30282.CEL	bone_like	"#000000"
350868103.CEL	blood_like	"#A1C299"
GSM74412.CEL	skeletal_muscle_like	"#997D87"
GSM74413.CEL	skeletal_muscle_like	"#997D87"
GSM74415.CEL	skeletal_muscle_like	"#997D87"
GSM74414.CEL	skeletal_muscle_like	"#997D87"
GSM74411.CEL	skeletal_muscle_like	"#997D87"
GSM114841.CEL	adipose_like	"#8FB0FF"
GSM114855.CEL	adipose_like	"#8FB0FF"
GSM114846.CEL	adipose_like	"#8FB0FF"
GSM114849.CEL	adipose_like	"#8FB0FF"
GSM114854.CEL	adipose_like	"#8FB0FF"
GSM114851.CEL	adipose_like	"#8FB0FF"
GSM114844.CEL	adipose_like	"#8FB0FF"
GSM114845.CEL	adipose_like	"#8FB0FF"
GSM114850.CEL	adipose_like	"#8FB0FF"
GSM114847.CEL	adipose_like	"#8FB0FF"
GSM114853.CEL	adipose_like	"#8FB0FF"
GSM114842.CEL	adipose_like	"#8FB0FF"
GSM114843.CEL	adipose_like	"#8FB0FF"
GSM114852.CEL	adipose_like	"#8FB0FF"
GSM114848.CEL	adipose_like	"#8FB0FF"
GSM114840.CEL	adipose_like	"#8FB0FF"
GSM114834.CEL	adipose_like	"#8FB0FF"
353122123.CEL	adipose_like	"#8FB0FF"
353123083.CEL	adipose_like	"#8FB0FF"
353123028.CEL	adipose_like	"#8FB0FF"
353122918.CEL	adipose_like	"#8FB0FF"
353122233.CEL	adipose_like	"#8FB0FF"
353123193.CEL	adipose_like	"#8FB0FF"
353122288.CEL	adipose_like	"#8FB0FF"
353122178.CEL	adipose_like	"#8FB0FF"
353122398.CEL	adipose_like	"#8FB0FF"
GSM171910.CEL	lung_like	"#008941"
GSM100828.CEL	lung_like	"#008941"
GSM100826.CEL	lung_like	"#008941"
GSM100832.CEL	lung_like	"#008941"
GSM100831.CEL	lung_like	"#008941"
GSM100829.CEL	lung_like	"#008941"
333475321.CEL	lung_like	"#008941"
333476476.CEL	lung_like	"#008941"
333475541.CEL	lung_like	"#008941"
333476036.CEL	lung_like	"#008941"
333476366.CEL	lung_like	"#008941"
484695822.CEL	lung_like	"#008941"
333475211.CEL	lung_like	"#008941"
333476146.CEL	lung_like	"#008941"
GSM143342.CEL	bone_like	"#000000"
GSM143348.CEL	bone_like	"#000000"
GSM143344.CEL	bone_like	"#000000"
1229968072.CEL	mammary_like	"#1CE6FF"
502394075.CEL	bone_like	"#000000"
502393963.CEL	bone_like	"#000000"
502393272.CEL	bone_like	"#000000"
502393607.CEL	bone_like	"#000000"
502393214.CEL	bone_like	"#000000"
502394190.CEL	bone_like	"#000000"
502393446.CEL	bone_like	"#000000"
502393838.CEL	bone_like	"#000000"
502393341.CEL	bone_like	"#000000"
GSM100654.CEL	blood_like	"#A1C299"
GSM100532.CEL	bone_like	"#000000"
GSM100609.CEL	blood_like	"#A1C299"
GSM100493.CEL	blood_like	"#A1C299"
GSM100492.CEL	blood_like	"#A1C299"
GSM100511.CEL	blood_like	"#A1C299"
GSM100651.CEL	blood_like	"#A1C299"
GSM100572.CEL	bone_like	"#000000"
GSM100550.CEL	bone_like	"#000000"
GSM100606.CEL	bone_like	"#000000"
GSM100548.CEL	bone_like	"#000000"
GSM100530.CEL	blood_like	"#A1C299"
GSM100497.CEL	blood_like	"#A1C299"
GSM100588.CEL	bone_like	"#000000"
GSM100529.CEL	bone_like	"#000000"
GSM100577.CEL	bone_like	"#000000"
GSM100567.CEL	blood_like	"#A1C299"
GSM100631.CEL	bone_like	"#000000"
GSM100506.CEL	blood_like	"#A1C299"
GSM100521.CEL	bone_like	"#000000"
GSM100615.CEL	blood_like	"#A1C299"
GSM100637.CEL	blood_like	"#A1C299"
GSM100466.CEL	blood_like	"#A1C299"
GSM100582.CEL	bone_like	"#000000"
GSM100474.CEL	blood_like	"#A1C299"
GSM100468.CEL	bone_like	"#000000"
GSM100475.CEL	blood_like	"#A1C299"
GSM100657.CEL	blood_like	"#A1C299"
GSM100510.CEL	bone_like	"#000000"
GSM100611.CEL	blood_like	"#A1C299"
GSM100576.CEL	blood_like	"#A1C299"
GSM100598.CEL	bone_like	"#000000"
GSM100575.CEL	blood_like	"#A1C299"
GSM100542.CEL	blood_like	"#A1C299"
GSM100578.CEL	blood_like	"#A1C299"
GSM100462.CEL	blood_like	"#A1C299"
GSM100574.CEL	bone_like	"#000000"
GSM100500.CEL	bone_like	"#000000"
GSM100605.CEL	blood_like	"#A1C299"
GSM100502.CEL	bone_like	"#000000"
GSM100603.CEL	bone_like	"#000000"
GSM100537.CEL	blood_like	"#A1C299"
GSM100523.CEL	blood_like	"#A1C299"
GSM100600.CEL	blood_like	"#A1C299"
GSM100666.CEL	blood_like	"#A1C299"
GSM100663.CEL	blood_like	"#A1C299"
GSM100524.CEL	bone_like	"#000000"
GSM100628.CEL	bone_like	"#000000"
GSM100534.CEL	bone_like	"#000000"
GSM100460.CEL	blood_like	"#A1C299"
GSM100629.CEL	blood_like	"#A1C299"
GSM100614.CEL	blood_like	"#A1C299"
GSM100514.CEL	bone_like	"#000000"
GSM100490.CEL	bone_like	"#000000"
GSM100471.CEL	blood_like	"#A1C299"
GSM100480.CEL	blood_like	"#A1C299"
GSM100594.CEL	blood_like	"#A1C299"
GSM100477.CEL	bone_like	"#000000"
GSM100541.CEL	blood_like	"#A1C299"
GSM100513.CEL	blood_like	"#A1C299"
GSM100555.CEL	bone_like	"#000000"
GSM100482.CEL	bone_like	"#000000"
GSM100531.CEL	blood_like	"#A1C299"
GSM100505.CEL	blood_like	"#A1C299"
GSM100608.CEL	blood_like	"#A1C299"
GSM100536.CEL	blood_like	"#A1C299"
GSM100665.CEL	bone_like	"#000000"
GSM100627.CEL	blood_like	"#A1C299"
GSM100592.CEL	bone_like	"#000000"
GSM100622.CEL	blood_like	"#A1C299"
GSM100667.CEL	blood_like	"#A1C299"
GSM100504.CEL	blood_like	"#A1C299"
GSM100526.CEL	bone_like	"#000000"
GSM100570.CEL	blood_like	"#A1C299"
GSM100560.CEL	bone_like	"#000000"
GSM100613.CEL	blood_like	"#A1C299"
GSM100459.CEL	blood_like	"#A1C299"
GSM100674.CEL	bone_like	"#000000"
GSM100539.CEL	bone_like	"#000000"
GSM100479.CEL	bone_like	"#000000"
GSM100561.CEL	bone_like	"#000000"
GSM100586.CEL	blood_like	"#A1C299"
GSM100486.CEL	bone_like	"#000000"
GSM100515.CEL	bone_like	"#000000"
GSM100485.CEL	bone_like	"#000000"
GSM100590.CEL	blood_like	"#A1C299"
GSM100612.CEL	blood_like	"#A1C299"
GSM100587.CEL	bone_like	"#000000"
GSM100553.CEL	blood_like	"#A1C299"
GSM100454.CEL	bone_like	"#000000"
GSM100662.CEL	blood_like	"#A1C299"
GSM100647.CEL	bone_like	"#000000"
GSM100461.CEL	blood_like	"#A1C299"
GSM100484.CEL	bone_like	"#000000"
GSM100656.CEL	blood_like	"#A1C299"
GSM100655.CEL	blood_like	"#A1C299"
GSM100672.CEL	blood_like	"#A1C299"
GSM100626.CEL	blood_like	"#A1C299"
GSM100669.CEL	bone_like	"#000000"
GSM100661.CEL	blood_like	"#A1C299"
GSM100518.CEL	bone_like	"#000000"
GSM100673.CEL	bone_like	"#000000"
GSM100617.CEL	blood_like	"#A1C299"
GSM100488.CEL	bone_like	"#000000"
GSM100607.CEL	blood_like	"#A1C299"
GSM100610.CEL	bone_like	"#000000"
GSM100571.CEL	bone_like	"#000000"
GSM100481.CEL	bone_like	"#000000"
GSM100455.CEL	bone_like	"#000000"
GSM100597.CEL	bone_like	"#000000"
GSM100491.CEL	blood_like	"#A1C299"
GSM100516.CEL	blood_like	"#A1C299"
GSM100658.CEL	blood_like	"#A1C299"
GSM100494.CEL	blood_like	"#A1C299"
GSM100568.CEL	blood_like	"#A1C299"
GSM100465.CEL	blood_like	"#A1C299"
GSM100464.CEL	blood_like	"#A1C299"
GSM100633.CEL	blood_like	"#A1C299"
GSM100640.CEL	bone_like	"#000000"
GSM100591.CEL	bone_like	"#000000"
GSM100503.CEL	blood_like	"#A1C299"
GSM100604.CEL	bone_like	"#000000"
GSM100641.CEL	bone_like	"#000000"
GSM100596.CEL	bone_like	"#000000"
GSM100595.CEL	bone_like	"#000000"
GSM100648.CEL	blood_like	"#A1C299"
GSM100559.CEL	bone_like	"#000000"
GSM100507.CEL	blood_like	"#A1C299"
GSM100483.CEL	blood_like	"#A1C299"
GSM100660.CEL	blood_like	"#A1C299"
GSM100620.CEL	blood_like	"#A1C299"
GSM100558.CEL	blood_like	"#A1C299"
GSM100528.CEL	bone_like	"#000000"
GSM100630.CEL	bone_like	"#000000"
GSM100489.CEL	bone_like	"#000000"
GSM100463.CEL	blood_like	"#A1C299"
GSM100543.CEL	blood_like	"#A1C299"
GSM100556.CEL	blood_like	"#A1C299"
GSM100554.CEL	blood_like	"#A1C299"
GSM100487.CEL	blood_like	"#A1C299"
